id,flight_date,flight_status,flight_number,flight_iata,flight_icao,airline_name,airline_iata,airline_icao,depart_airport,depart_timezone,depart_iata,depart_icao,depart_terminal,depart_gate,depart_delay,depart_scheduled,depart_estimated,depart_actual,depart_estimated_runway,depart_actual_runway,arrival_airport,arrival_timezone,arrival_iata,arrival_icao,arrival_terminal,arrival_gate,arrival_baggage,arrival_delay,arrival_scheduled,arrival_estimated,arrival_actual,arrival_estimated_runway,arrival_actual_runway,aircraft_registration,aircraft_iata,aircraft_icao,aircraft_icao24
2024-04-19DL8528None,2024-04-19,landed,8528,DL8528,DAL8528,Delta Air Lines,DL,DAL,Charles De Gaulle,Europe/Paris,CDG,LFPG,2F,F35,25,2024-04-19T12:40:00+00:00,2024-04-19T12:40:00+00:00,2024-04-19T13:05:00+00:00,2024-04-19T13:05:00+00:00,2024-04-19T13:05:00+00:00,Geneve-cointrin,Europe/Zurich,GVA,LSGG,1,,1,1,2024-04-19T13:50:00+00:00,2024-04-19T13:50:00+00:00,2024-04-19T13:51:00+00:00,2024-04-19T13:51:00+00:00,2024-04-19T13:51:00+00:00,None,None,None,None
2024-04-19DL9562None,2024-04-19,landed,9562,DL9562,DAL9562,Delta Air Lines,DL,DAL,Schiphol,Europe/Amsterdam,AMS,EHAM,1,B27,65,2024-04-19T12:05:00+00:00,2024-04-19T12:05:00+00:00,2024-04-19T13:09:00+00:00,2024-04-19T13:09:00+00:00,2024-04-19T13:09:00+00:00,Geneve-cointrin,Europe/Zurich,GVA,LSGG,1,,2,36,2024-04-19T13:35:00+00:00,2024-04-19T13:35:00+00:00,2024-04-19T14:11:00+00:00,2024-04-19T14:11:00+00:00,2024-04-19T14:11:00+00:00,None,None,None,None
2024-04-19DL1064None,2024-04-19,landed,1064,DL1064,DAL1064,Delta Air Lines,DL,DAL,Ronald Reagan Washington National Airport,America/New_York,DCA,KDCA,2,B17,13,2024-04-19T11:30:00+00:00,2024-04-19T11:30:00+00:00,2024-04-19T11:43:00+00:00,2024-04-19T11:43:00+00:00,2024-04-19T11:43:00+00:00,Minneapolis - St. Paul International,America/Chicago,MSP,KMSP,1,G13,7,,2024-04-19T13:15:00+00:00,2024-04-19T13:15:00+00:00,2024-04-19T13:03:00+00:00,2024-04-19T13:03:00+00:00,2024-04-19T13:03:00+00:00,None,None,None,None
2024-04-19DL2238None,2024-04-19,landed,2238,DL2238,DAL2238,Delta Air Lines,DL,DAL,Detroit Metropolitan Wayne County,America/Detroit,DTW,KDTW,EM,A63,11,2024-04-19T15:40:00+00:00,2024-04-19T15:40:00+00:00,2024-04-19T15:50:00+00:00,2024-04-19T15:50:00+00:00,2024-04-19T15:50:00+00:00,Newark Liberty International,America/New_York,EWR,KEWR,A,A06,,,2024-04-19T17:19:00+00:00,2024-04-19T17:19:00+00:00,2024-04-19T17:00:00+00:00,2024-04-19T17:00:00+00:00,2024-04-19T17:00:00+00:00,None,None,None,None
2024-04-19DL2234None,2024-04-19,landed,2234,DL2234,DAL2234,Delta Air Lines,DL,DAL,Detroit Metropolitan Wayne County,America/Detroit,DTW,KDTW,EM,A59,8,2024-04-19T15:40:00+00:00,2024-04-19T15:40:00+00:00,2024-04-19T15:48:00+00:00,2024-04-19T15:48:00+00:00,2024-04-19T15:48:00+00:00,Bradley International,America/New_York,BDL,KBDL,A,11,,,2024-04-19T17:15:00+00:00,2024-04-19T17:15:00+00:00,2024-04-19T17:02:00+00:00,2024-04-19T17:02:00+00:00,2024-04-19T17:02:00+00:00,None,None,None,None
2024-04-19DL1463None,2024-04-19,landed,1463,DL1463,DAL1463,Delta Air Lines,DL,DAL,Detroit Metropolitan Wayne County,America/Detroit,DTW,KDTW,EM,A50,29,2024-04-19T15:40:00+00:00,2024-04-19T15:40:00+00:00,2024-04-19T16:08:00+00:00,2024-04-19T16:08:00+00:00,2024-04-19T16:08:00+00:00,Orlando International,America/New_York,MCO,KMCO,B,74,31,,2024-04-19T18:15:00+00:00,2024-04-19T18:15:00+00:00,2024-04-19T18:11:00+00:00,2024-04-19T18:11:00+00:00,2024-04-19T18:11:00+00:00,None,None,None,None
2024-04-19DL5925None,2024-04-19,landed,5925,DL5925,DAL5925,Delta Air Lines,DL,DAL,Los Angeles International,America/Los_Angeles,LAX,KLAX,2,133,15,2024-04-19T19:10:00+00:00,2024-04-19T19:10:00+00:00,2024-04-19T19:24:00+00:00,2024-04-19T19:24:00+00:00,2024-04-19T19:24:00+00:00,Heathrow,Europe/London,LHR,EGLL,3,,07,,2024-04-20T13:30:00+00:00,2024-04-20T13:30:00+00:00,2024-04-20T13:12:00+00:00,2024-04-20T13:12:00+00:00,2024-04-20T13:12:00+00:00,None,None,None,None
2024-04-19DL75B764,2024-04-19,landed,75,DL75,DAL75,Delta Air Lines,DL,DAL,Schiphol,Europe/Amsterdam,AMS,EHAM,2,D47,57,2024-04-19T13:00:00+00:00,2024-04-19T13:00:00+00:00,2024-04-19T13:56:00+00:00,2024-04-19T13:56:00+00:00,2024-04-19T13:56:00+00:00,Hartsfield-jackson Atlanta International,America/New_York,ATL,KATL,I,F8,F6,11,2024-04-19T16:45:00+00:00,2024-04-19T16:45:00+00:00,2024-04-19T16:56:00+00:00,2024-04-19T16:56:00+00:00,2024-04-19T16:56:00+00:00,N826MH,B764,B764,AB4840
2024-04-19DL8135None,2024-04-19,active,8135,DL8135,DAL8135,Delta Air Lines,DL,DAL,Internacional Benito Juarez,America/Mexico_City,MEX,MMMX,2,A,21,2024-04-19T12:40:00+00:00,2024-04-19T12:40:00+00:00,2024-04-19T13:00:00+00:00,2024-04-19T13:00:00+00:00,2024-04-19T13:00:00+00:00,Las Bajadas,America/Mexico_City,VER,MMVR,A,,,,2024-04-19T13:51:00+00:00,2024-04-19T13:51:00+00:00,,,,None,None,None,None
2024-04-19DL1498None,2024-04-19,landed,1498,DL1498,DAL1498,Delta Air Lines,DL,DAL,John F Kennedy International,America/New_York,JFK,KJFK,4,B25,10,2024-04-19T08:00:00+00:00,2024-04-19T08:00:00+00:00,2024-04-19T08:10:00+00:00,2024-04-19T08:10:00+00:00,2024-04-19T08:10:00+00:00,Tampa International,America/New_York,TPA,KTPA,C,E69,7,,2024-04-19T11:00:00+00:00,2024-04-19T11:00:00+00:00,2024-04-19T10:19:00+00:00,2024-04-19T10:19:00+00:00,2024-04-19T10:19:00+00:00,None,None,None,None
